gdhA: HAIN001_00203	HAIN002_00273	HAIN003_00473	HAIN004_00707	HAIN005_01972	HAIN006_01111	HAIN007_00257	HAIN008_00454	HAIN009_00399	HAIN010_00871
group_245: HAIN001_01230	HAIN002_01260	HAIN003_01252	HAIN004_01896	HAIN005_01094	HAIN006_01885	HAIN007_01365	HAIN008_01198	HAIN009_01245	HAIN010_01455
fbpA: HAIN001_00104	HAIN002_00172	HAIN003_00582	HAIN004_00596	HAIN005_00137	HAIN006_00099	HAIN007_00161	HAIN008_00553	HAIN009_00503	HAIN010_01444
group_502: HAIN001_00588	HAIN002_00655	HAIN003_00034	HAIN004_01214	HAIN005_01729	HAIN006_00655	HAIN007_00715	HAIN008_00024	HAIN009_00024	HAIN010_00204
rseB: HAIN001_00677	HAIN002_00682	HAIN003_01821	HAIN004_01240	HAIN005_01625	HAIN006_00556	HAIN007_00803	HAIN008_01742	HAIN009_01872	HAIN010_00228
menB: HAIN001_01035	HAIN002_01096	HAIN003_01426	HAIN004_01693	HAIN005_01259	HAIN006_00161	HAIN007_01162	HAIN008_01363	HAIN009_01421	HAIN010_00602
thrB: HAIN001_00094	HAIN002_00163	HAIN003_00589	HAIN004_00590	HAIN005_00131	HAIN006_00089	HAIN007_00152	HAIN008_00560	HAIN009_00512	HAIN010_00848
ribE: HAIN001_01367	HAIN002_01517	HAIN003_01047	HAIN004_00279	HAIN005_00812	HAIN006_01478	HAIN007_01505	HAIN008_00995	HAIN009_00886	HAIN010_01070
aspC: HAIN001_01689	HAIN002_01345	HAIN003_01158	HAIN004_01994	HAIN005_01007	HAIN006_01800	HAIN007_01849	HAIN008_01110	HAIN009_01160	HAIN010_01276
yqgF: HAIN001_00334	HAIN002_00399	HAIN003_00299	HAIN004_00872	HAIN005_00254	HAIN006_00980	HAIN007_00450	HAIN008_00277	HAIN009_00273	HAIN010_01778
nqrF: HAIN001_00184	HAIN002_00253	HAIN003_00488	HAIN004_00687	HAIN005_01952	HAIN006_01131	HAIN007_00238	HAIN008_00473	HAIN009_00418	HAIN010_00802
wbbD: HAIN001_01769	HAIN002_01859	HAIN003_00739	HAIN004_00431	HAIN005_00512	HAIN006_01239	HAIN007_01928	HAIN008_00702	HAIN009_00763	HAIN010_00979
ybhI: HAIN001_00021	HAIN002_00021	HAIN003_00662	HAIN004_00506	HAIN005_00024	HAIN006_00026	HAIN007_00021	HAIN008_00632	HAIN009_00687	HAIN010_01508
rluB: HAIN001_01264	HAIN002_01294	HAIN003_01216	HAIN004_01935	HAIN005_01059	HAIN006_01851	HAIN007_01402	HAIN008_01163	HAIN009_01211	HAIN010_00898
group_180: HAIN001_01342	HAIN002_01758	HAIN003_00850	HAIN004_00308	HAIN005_00635	HAIN006_01362	HAIN007_01477	HAIN008_00806	HAIN009_00861	HAIN010_00970
group_1688: HAIN001_01278	HAIN002_01308	HAIN003_01202	HAIN004_01950	HAIN005_01044	HAIN006_01837	HAIN007_01416	HAIN008_01149	HAIN009_01197	HAIN010_00912
napA: HAIN001_00372	HAIN002_00445	HAIN003_00250	HAIN004_00910	HAIN005_00295	HAIN006_00939	HAIN007_00485	HAIN008_00236	HAIN009_00228	HAIN010_00100
pckA: HAIN001_00876	HAIN002_00942	HAIN003_01600	HAIN004_01523	HAIN005_01457	HAIN006_00328	HAIN007_01000	HAIN008_01544	HAIN009_01592	HAIN010_00494
rppH: HAIN001_00967	HAIN002_01028	HAIN003_01501	HAIN004_01624	HAIN005_01372	HAIN006_00234	HAIN007_01091	HAIN008_01439	HAIN009_01488	HAIN010_00538
napB: HAIN001_00376	HAIN002_00448	HAIN003_00247	HAIN004_00914	HAIN005_00298	HAIN006_00936	HAIN007_00488	HAIN008_00233	HAIN009_00225	HAIN010_00097
siaP: HAIN001_00160	HAIN002_00230	HAIN003_00521	HAIN004_00663	HAIN005_01929	HAIN006_01154	HAIN007_00215	HAIN008_00496	HAIN009_00441	HAIN010_00825
leuC: HAIN001_01057	HAIN002_01114	HAIN003_01407	HAIN004_01714	HAIN005_01240	HAIN006_00140	HAIN007_01183	HAIN008_01344	HAIN009_01402	HAIN010_00623
tqsA: HAIN001_00366	HAIN002_00439	HAIN003_00256	HAIN004_00903	HAIN005_00289	HAIN006_00945	HAIN007_00479	HAIN008_00242	HAIN009_00234	HAIN010_00106
rnr: HAIN001_00927	HAIN002_00993	HAIN003_01546	HAIN004_01578	HAIN005_01406	HAIN006_00276	HAIN007_01051	HAIN008_01493	HAIN009_01540	HAIN010_01628
pstA: HAIN001_01446	HAIN002_01658	HAIN003_00915	HAIN004_00133	HAIN005_00712	HAIN006_01581	HAIN007_01598	HAIN008_00871	HAIN009_01024	HAIN010_01121
pnuC: HAIN001_01143	HAIN002_01179	HAIN003_01340	HAIN004_01804	HAIN005_01174	HAIN006_01967	HAIN007_01282	HAIN008_01278	HAIN009_01329	HAIN010_00741
group_55: HAIN001_00063	HAIN002_00065	HAIN003_00621	HAIN004_00556	HAIN005_00057	HAIN006_00059	HAIN007_00054	HAIN008_00590	HAIN009_00645	HAIN010_01551
artM: HAIN001_01243	HAIN002_01273	HAIN003_01238	HAIN004_01911	HAIN005_01080	HAIN006_01872	HAIN007_01378	HAIN008_01185	HAIN009_01232	HAIN010_01425
rbsC: HAIN001_00531	HAIN002_00600	HAIN003_00092	HAIN004_01156	HAIN005_01788	HAIN006_00711	HAIN007_00660	HAIN008_00082	HAIN009_00072	HAIN010_00357
yejK: HAIN001_00906	HAIN002_00972	HAIN003_01569	HAIN004_01555	HAIN005_01427	HAIN006_00297	HAIN007_01030	HAIN008_01514	HAIN009_01562	HAIN010_00526
